"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
260,2011-08-22,"","Norak area of North Waziristan ","North Waziristan","FATA",1,0,0,0,0,0,0,4,5,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
261,2011-08-22,"","Khaisura village in Mir ali ","North Waziristan","FATA",1,0,0,0,0,0,0,0,6,0,0,"",70.1455,32.9746,"2011","Barack Obama",1,0
262,2011-09-11,"","HisoKhel Village","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2011","Barack Obama",1,0
263,2011-09-23,"","Khushali Area- Mir Ali","North Waziristan","FATA",1,0,0,3,5,0,0,3,5,0,4,"N",70.1455,32.9746,"2011","Barack Obama",1,0
264,2011-09-27,"22:45","Azam warsak","South Waziristan","FATA",1,0,4,0,2,0,0,2,4,0,4,"",69.9,33.0333,"2011","Barack Obama",1,4
265,2011-09-30,"","Baghar","South Waziristan","FATA",1,0,0,0,0,0,0,3,4,0,0,"",69.9,33.0333,"2011","Barack Obama",1,0
266,2011-10-13,"","Danda Darpakhel","North Waziristan","FATA",1,0,6,0,0,0,0,4,6,0,6,"",70.1455,32.9746,"2011","Barack Obama",1,6
267,2011-10-27,"","Azam Warsak","South Waziristan","FATA",1,0,6,0,0,0,0,4,6,3,4,"",69.9,33.0333,"2011","Barack Obama",1,6
268,2011-10-30,"","Datta Khel","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,2,"",70.1455,32.9746,"2011","Barack Obama",1,0
269,2011-11-03,"","Darpakhel Sarai","North Waziristan","FATA",1,0,3,0,0,0,0,2,3,0,3,"",70.1455,32.9746,"2011","Barack Obama",1,3
270,2011-11-15,"","Miranshah","North Waziristan","FATA",1,0,6,0,0,0,0,0,6,2,3,"",70.1455,32.9746,"2011","Barack Obama",1,6
271,2011-11-16,"","Babar Ghar- Sararogha","South Waziristan","FATA",1,0,22,0,0,0,0,17,22,0,6,"",69.9,33.0333,"2011","Barack Obama",1,22
272,2011-11-17,"","Shawal","North Waziristan","FATA",1,0,7,0,0,0,0,0,7,0,0,"",70.1455,32.9746,"2011","Barack Obama",1,7
273,2012-01-10,"","Miranshah","North Waziristan","FATA",1,0,0,0,0,0,0,0,4,0,0,"",70.1455,32.9746,"2012","Barack Obama",1,0
274,2011-10-30,"","Doga area of Dattakhel- 15 km east of miranshah","North Waziristan","FATA",1,0,0,4,6,0,0,4,6,0,2,"",70.1455,32.9746,"2011","Barack Obama",1,0
275,2011-10-31,"","Naurak mirali","North Waziristan","FATA",1,0,0,2,4,0,0,2,4,0,5,"",70.1455,32.9746,"2011","Barack Obama",1,0
276,2011-11-03,"","Darpakhel sarai","North Waziristan","FATA",1,0,0,0,3,0,0,0,3,0,5,"",70.1455,32.9746,"2011","Barack Obama",1,0
277,2011-11-15,"","Miranshah Bazar","North Waziristan","FATA",1,0,0,6,7,0,0,6,7,0,4,"",70.1455,32.9746,"2011","Barack Obama",1,0
278,2011-11-16,"","Baber Ghar area","South Waziristan","FATA",1,0,0,15,18,0,0,15,18,0,0,"",69.9,33.0333,"2011","Barack Obama",1,0
279,2011-11-17,"","Ramzak area","North Waziristan","FATA",1,0,0,6,9,0,0,6,9,0,4,"",70.1455,32.9746,"2011","Barack Obama",1,0
280,2012-01-10,"","Miranshah","North Waziristan","FATA",1,0,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
281,2012-01-12,"19:00","Dogga village- Datta khel tehsil- 45 km west of miranshah","North Waziristan","FATA",1,0,0,0,0,0,6,4,6,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
282,2012-01-23,"","Muhammad khel village","North Waziristan","FATA",1,0,0,0,2,0,0,0,2,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
283,2012-01-23,"","Deegan village","North Waziristan","FATA",1,0,0,2,3,0,0,2,3,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
284,2012-02-08,"7:00","Tappi- 10KM southeast of Miranshah","North Waziristan","FATA",1,0,0,0,10,0,0,0,10,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
285,2012-02-09,"6:30","Miranshah","North Waziristan","FATA",1,4,0,0,4,0,0,0,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,4
286,2012-02-16,"6:30","Spagla Town Near Miranshah","North Waziristan","FATA",1,0,0,0,5,0,0,0,5,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
287,2012-02-16,"6:45","Spagla Town Near Miranshah","North Waziristan","FATA",1,0,0,4,7,0,8,12,15,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
288,2012-03-13,"7:15","Birmal area of South Waziristan","South Waziristan","FATA",1,0,8,0,0,0,0,7,8,0,2,"N",69.9,33.0333,"2012","Barack Obama",1,8
289,2012-03-13,"","Surra Khawra area of Shawal South Waziristan","South Waziristan","FATA",1,0,7,0,0,0,0,0,0,0,0,"N",69.9,33.0333,"2012","Barack Obama",1,7
290,2012-03-09,"","Mandao area on the boarder od North and South Waziristan","South Waziristan","FATA",3,1,12,0,0,0,0,8,13,0,0,"N",69.9,33.0333,"2012","Barack Obama",1,13
291,2012-03-30,"3:00","Market in Miranshah North Waziristan","North Waziristan","FATA",3,0,0,0,4,0,0,0,4,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
292,2012-04-29,"","Miranshah","North Waziristan","FATA",1,0,0,0,0,3,4,3,4,2,3,"N",70.1455,32.9746,"2012","Barack Obama",1,0
293,2012-05-05,"","Shawal area- 70km west of Miranshah","North Waziristan","FATA",1,0,0,0,0,0,10,0,10,0,8,"Y",70.1455,32.9746,"2012","Barack Obama",1,0
294,2012-05-23,"","Miranshah","North Waziristan","FATA",2,0,0,4,5,0,0,4,5,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
295,2012-05-24,"5:30","Mir Ali","North Waziristan","FATA",1,0,0,2,10,4,8,2,10,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
296,2012-05-26,"4:00","Miranshah","North Waziristan","FATA",2,0,0,1,4,2,3,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
297,2012-05-28,"9:00","HassoKhel Town- 25km East of Miranshah","North Waziristan","FATA",1,0,0,5,8,0,0,5,8,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
298,2012-05-28,"","Datta Khel District- 30km West of Miranshah","North Waziristan","FATA",2,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
299,2012-06-02,"8:30","Khawashikhel Village- 5km West of Wana","South Waziristan","FATA",1,0,3,0,0,0,0,2,3,0,0,"N",69.9,33.0333,"2012","Barack Obama",1,3
300,2012-06-03,"","Wacha Dana- 10km West of Wana","South Waziristan","FATA",1,0,11,0,0,0,0,6,11,0,2,"N",69.9,33.0333,"2012","Barack Obama",1,11
301,2012-06-04,"3:30","Heshokhel Village- 3km East of Mirali","North Waziristan","FATA",1,1,0,0,14,0,0,0,15,0,5,"N",70.1455,32.9746,"2012","Barack Obama",1,1
302,2012-06-13,"","Isha Village- 10km East of Miranshah","North Waziristan","FATA",1,0,0,3,4,0,0,3,4,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,0
303,2012-06-14,"3:15","Miranshah Bazaar","North Waziristan","FATA",2,0,0,2,4,0,0,2,4,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
304,2012-06-26,"2:00","Shawal Area- 50km Southwest of Miranshah","North Waziristan","FATA",1,0,5,0,0,0,0,0,5,0,3,"N",70.1455,32.9746,"2012","Barack Obama",1,5
305,2012-07-01,"","Shawal District- 50km Southwest of Miranshah","North Waziristan","FATA",1,0,8,0,0,0,0,0,8,0,0,"N",70.1455,32.9746,"2012","Barack Obama",1,8
306,2012-07-06,"20:45","Zoi Nari- Tehsil Dattakhel","North Waziristan","FATA",6,0,0,4,17,0,0,4,17,2,3,"N",70.1455,32.9746,"2012","Barack Obama",1,0
307,2012-07-06,"22:30","Zoi Nari- Tehsil Dattakhel","North Waziristan","FATA",1,0,0,3,18,0,0,3,18,0,2,"N",70.1455,32.9746,"2012","Barack Obama",1,0
